"ANALYSE COMPARATIVE - Table_A_Arduino_V0 vs V1 - Projet RZ - Mars 2026
?? Points à corriger : (A) supprimer emg de V1  (B) supprimer parenthèses sur commandes ponctuelles";;;;;;;
COM;warn;V;-;-;?? Manquant V1;"COM:warn A?SP absent de V1. Avertissements non critiques (pas urgence).
Conseil : ajouter COM:warn(I) A?SP si des warnings non-urgence sont émis.";
?? Ctrl_L ??;;;;;;;
Ctrl_L;act;V;act;V;? OK;Activation laisse présente dans les deux.;
Ctrl_L;dist (F flux);F;-;-;?? Manquant V1;"V0 avait dist en CAT=F (flux continu distance mesurée, cm). V1 n'a que dist(V) consigne.
Conseil : ajouter Ctrl_L:dist(F) A?SP pour la distance mesurée en temps réel.";OUI ajouter
Ctrl_L;dist (consigne);V;dist;V;? OK;Consigne de distance cible présente dans les deux. Unité à harmoniser : V0=cm, V1=mm.;
Ctrl_L;speed / vmax;V;vmax;V;?? Modifié;"V0 avait ""speed"" et ""vmax"" séparés. V1 ne garde que ""vmax"".
Conseil : confirmer suppression de ""speed"" (distinct de vmax ?) ou alias.";j'ai pas retrouvé speed, avant de le supprimer, j'aimerai voir où tu as vu sa référence ?
Ctrl_L;dead;V;dead;V;? OK;Zone morte présente dans les deux. Unité à vérifier : V0=mm, V1=mm ? cohérent.;
Ctrl_L;ack;I;-;-;?? Manquant V1;"V0 avait un ACK dédié ctrl_L:ack(I). V1 a ctrl_L:status(I) à la place.
Conseil : status couvre l'ACK en V1 - pas de manque critique.";« « ATTENTION, j'ai de nombreuses propriétés act dans la partie arduino. Je ne sait pas si mon choix de donner deux nom de propriétés différents pour une même chose était pertinent ? Je l'ai fait pour alléger les échanges (act est un boolean alors que status du fait d'une troisième possibilité ne pouvait pas l'être. Si cela est pertinent alors tu as raison et il faut peut-être généraliser pour les ACK des autres act en mettant status ? » »
Ctrl_L;status;I;status;I;? OK;État laisse présent dans les deux. V1 : OK|OFF|FceKO|VtKO.;
?? FS ??;;;;;;;« « FS ne me semble avoir deux objectifs : permettre un étalonnage de capteur et fournir des valeurs pour le pilotage par laisse Ctrl_L »
FS;read (value/raw);V;-;-;?? Manquant V1;"V0 avait read avec valeur ""value"" ou ""raw"". V1 a force(F) flux mais pas de read à la demande.
Conseil : ajouter FS:read(V) ? A publie FS:force(F) en réponse.";OUI ajouter
FS;raw;A?SP;-;-;?? Manquant V1;"V0 avait FS:raw(F) valeur brute HX711. V1 n'a que FS:force(F) normalisée.
Conseil : ajouter FS:raw(F) A?SP si debug/calibration nécessite valeur brute.";OUI ajouter
FS;tare;V;tare;V;?? Modifié;Présente dans les deux. V0 sans parenthèses, V1 avec (tare) ? corriger point D : supprimer parenthèses.;
FS;cal;V;cal;V;? OK;Calibration présente dans les deux. V1 documente ×1000.;
FS;act;V;act;V;? OK;Activation présente dans les deux.;
FS;freq;V;freq;V;? OK;Fréquence présente dans les deux.;
FS;thd;V;thd;V;? OK;Seuil présent dans les deux.;
FS;status;I;-;-;?? Manquant V1;"V0 avait FS:status(I) : état général du capteur (actif/KO/seuil dépassé). Absent de V1.
Conseil : utile - à ajouter, ou le FS:alerte(E) couvre-t-il ce besoin ?";Tu as raison alerte permet de le traiter, mais c'est peut-être plus « propre » et plus lisible de l'avoir, comme pour Ctrl_L et les autres Ack de la propriété act. Il faudra sans souvenir lorsque l'on développera la partie Node-red. Peut-être spécifier une règle de la table A pour l'arduino ? 
FS;-;-;force(F);F;? Ajout V1;V1 ajoute FS:force flux continu normalisé. Bon ajout - absent de V0.;Je pense que le terme force est plus clair que raw, je ne sais pas bien la différence et des explications complémentaires sont nécessaire pour mon avis.
FS;-;-;alerte;E;? Ajout V1;V1 ajoute FS:alerte(E) franchissement seuil. Bon ajout - absent de V0 (qui avait status).;A revoir avec le reste des var prop du module, je tends à penser qu'il faut à la fois alert et status
?? Lring ??;;;;;;;
Lring;arg / args;V;-;-;? À vérifier;"V0 avait Lring:arg et Lring:args. Non identifiés dans dispatch_Lring.cpp actuel.
Conseil : propriétés probablement obsolètes - vérifier dans le code si encore utilisées.";Je ne le trouve même pas en V0 ? Où le vois tu ?
Lring;act;V;act;V;? OK;Activation présente dans les deux.;
Lring;acti / acte;V;-;-;? À vérifier;"V0 avait acti/acte (activation instance / externe ?). Non trouvés dans dispatch actuel.
Probablement remplacés par act + mode=extern.";Je ne le trouve même pas en V0 ? Où le vois tu ?
Lring;expr;V;expr;V;? OK;Expression interne présente dans les deux.;
Lring;col / rgb;V;rgb;V;?? Modifié;V0 utilisait col et rgb séparément. V1 unifie sur rgb. Vérifier si col est encore utile.;ok, vérifier cohérance du code après
Lring;clr;V;clr;V;? OK;Effacement présent dans les deux. V1 : supprimer parenthèses.;
Lring;cp;V;-;-;? À vérifier;V0 avait cp (copie/copy ?). Non trouvé dans dispatch actuel. Probablement obsolète.;
Lring;mode;V;mode;V;? OK;Mode expr/extern présent dans les deux.;
Lring;-;-;int;V;? Ajout V1;V1 ajoute Lring:int (intensité). Confirmer que int=brightness - bon ajout.;
Lring;-;-;init;V;? Ajout V1;V1 ajoute Lring:init. Supprimer parenthèses (point D) : init, pas (init).;
?? Lrub ??;;;;;;;
Lrub;col;V;col;V;? OK;Couleur présente dans les deux.;
Lrub;int;I/F;int;V;?? Modifié;V0 : int en retour d'état. V1 : int en consigne. Clarifier direction.;« « int ici intensité lumineuse, et pas un type. Cela ta peut-être « troublé » et il n'est peut-être pas une bonne idée d'avoir int comme nom ? int ici est un ack » »
Lrub;rgb;-;-;-;? À vérifier;"V0 avait Lrub:rgb distinct de col. Non vu dans dispatch_Lrub.cpp.
Conseil : probablement col=rgb en V1. Confirmer suppression de rgb comme propriété séparée.";ok, vérifier cohérance du code après
Lrub;timeout;V;-;-;?? Manquant V1;"V0 avait Lrub:timeout (extinction auto après N ms). Absent de V1.
Conseil : utile - à réintégrer ou à confirmer suppression volontaire.";Conserver le timeout
Lrub;effetFuite;V;effetFuite;V;? OK;Effet fuite présent dans les deux. V1 : supprimer parenthèses si c'est une commande ponctuelle.;
Lrub;effetFuita;V;-;-;? À vérifier;V0 avait effetFuita (typo de effetFuite ?). Si différent, documenter. Sinon supprimer.;A supprimer
Lrub;act;-;act;V;? Ajout V1;V1 ajoute Lrub:act. Bon ajout - cohérent avec les autres modules.;OK
Lrub;init;V;init;V;? OK;Réinitialisation présente dans les deux. Supprimer parenthèses V1.;
?? Mic ??;;;;;;;gestion en fonction du mode
Mic;act;V;act;V;? OK;Activation présente dans les deux.;
Mic;min;F;-;-;?? Manquant V1;"V0 avait Mic:min (valeur min sur fenêtre). Absent de V1.
Conseil : utile pour détection sonore fine - à réintégrer ou confirmer abandon.";Réintégrer
Mic;max;F;-;-;?? Manquant V1;"V0 avait Mic:max (valeur max sur fenêtre). Absent de V1.
Conseil : idem min - à décider.";Réintégrer
Mic;rms;F;rms;F;? OK;RMS présent dans les deux.;
Mic;peak;F;-;-;?? Manquant V1;V0 avait Mic:peak. Absent de V1. Voir si distincts de max.;revoir avec le code
Mic;son;I;-;-;?? Manquant V1;V0 avait Mic:son (son détecté ?). Absent de V1. Si = détection > seuil ? couvrir par alerte.;revoir avec le code
Mic;alert;E;-;-;?? Manquant V1;V0 avait Mic:alert(E). Absent de V1. Conseil : ajouter Mic:alerte(E) A?SP si son > thd.;revoir avec le code
Mic;freq;V;freq;V;? OK;Fréquence présente dans les deux.;
Mic;win;V;win;V;? OK;Fenêtre de calcul présente dans les deux.;
Mic;thd;-;thd;V;? Ajout V1;V1 ajoute Mic:thd (seuil de détection). Bon ajout.;ok
Mic;mode;V;mode;V;? OK;Mode présent dans les deux.;
?? Mtr ??;;;;;;;A revoir avec les fichiers pour statuer.  J'avais maintenu deux versions une legacy et une modern
Mtr;targets;I;-;-;?? Modifié;"V0 avait Mtr:targets(I) L,R,A retour d'état. V1 remplace par Mtr:state(I).
Cohérent - renommage.";A revoir avec les fichiers pour statuer.  J'avais maintenu deux versions une legacy et une modern
Mtr;acc;V;-;-;?? Modifié;V0 avait acc séparé. V1 intègre acc dans cmd (v,omega,acc). Legacy acc toujours supporté.;A revoir avec les fichiers pour statuer.  J'avais maintenu deux versions une legacy et une modern
Mtr;spd;V;-;-;?? Modifié;Idem acc - remplacé par cmd. Legacy supporté en V1.;A revoir avec les fichiers pour statuer.  J'avais maintenu deux versions une legacy et une modern
Mtr;dir;V;-;-;?? Modifié;Idem acc - remplacé par cmd. Legacy supporté en V1.;A revoir avec les fichiers pour statuer.  J'avais maintenu deux versions une legacy et une modern
Mtr;triplet;V;triplet;V;? OK;Triplet legacy présent dans les deux.;A revoir avec les fichiers pour statuer.  J'avais maintenu deux versions une legacy et une modern
Mtr;kturn;V;kturn;V;? OK;Kturn présent dans les deux.;A revoir avec les fichiers pour statuer.  J'avais maintenu deux versions une legacy et une modern
Mtr;scale;V;scale;V;? OK;Scale présent dans les deux.;A revoir avec les fichiers pour statuer.  J'avais maintenu deux versions une legacy et une modern
Mtr;act;V;act;V;? OK;Activation présente dans les deux.;A revoir avec les fichiers pour statuer.  J'avais maintenu deux versions une legacy et une modern
Mtr;read;V;-;-;?? Modifié;V0 avait read(V) ? V1 nomme la réponse state(I). Même fonctionnalité, renommé.;A revoir avec les fichiers pour statuer.  J'avais maintenu deux versions une legacy et une modern
Mtr;-;-;cmd;V;? Ajout V1;? V1 ajoute Mtr:cmd (API moderne v,omega,acc). Nouvelle API - non présente en V0.;A revoir avec les fichiers pour statuer.  J'avais maintenu deux versions une legacy et une modern
Mtr;-;-;mode;V;? Ajout V1;? V1 ajoute Mtr:mode (modern|legacy). Nouveau - facilite compatibilité.;A revoir avec les fichiers pour statuer.  J'avais maintenu deux versions une legacy et une modern
?? IRmvt ??;;;;;;;Je voulais éviter un flux de transfert. Suivi en continue, envoi que si détection. Vérifier la logique fichier
IRmvt;act;V;act;V;? OK;Activation présente dans les deux.;
IRmvt;freq;V;freq;V;? OK;Fréquence présente dans les deux.;
IRmvt;thd;V;thd;V;? OK;Seuil présent dans les deux.;
IRmvt;mode;V;mode;V;? OK;Mode présent dans les deux.;
IRmvt;-;-;mvt(F);F;? Ajout V1;? V1 ajoute IRmvt:mvt(F) flux état détection. Bon ajout.;Je voulais éviter un flux de transfert. Suivi en continue, envoi que si détection. Vérifier la logique fichier
?? Odom ??;;;;;;;
Odom;act;V;act;V;? OK;Activation présente dans les deux.;
Odom;pos;F;pos;F;? OK;Position flux présente dans les deux.;
Odom;vel;F;vel;F;? OK;Vitesse flux présente dans les deux.;
Odom;result;I;-;-;? À vérifier;V0 avait Odom:result. Non vu en V1. Doublon de pos/vel ou résultat de coeff ? À clarifier.;revoir avec le code si doublon
Odom;reset;V;reset;V;?? Modifié;Présent dans les deux. V1 utilise parenthèses (reset) ? corriger point D.;
Odom;freq;V;freq;V;? OK;Fréquence présente dans les deux.;
Odom;report;V;report;V;? OK;Période rapport présente dans les deux.;
Odom;coeff;V;coeff;V;? OK;Coefficients présents dans les deux.;
Odom;geom;V;geom;V;? OK;Géométrie présente dans les deux.;
Odom;gyro;V;gyro;V;? OK;Injection gyro présente dans les deux.;
Odom;compass;V;compass;V;? OK;Injection boussole présente dans les deux.;
Odom;mode;V;mode;V;? OK;Mode présent dans les deux.;
?? SecMvt ??;;;;;;;
SecMvt;mode;V;mode;V;? OK;Mode présent dans les deux.;
SecMvt;act;V;act;V;? OK;Activation présente dans les deux.;
SecMvt;thd;V;thd;V;? OK;Seuils warn/danger présents dans les deux.;
SecMvt;scale;V;scale;V;? OK;Scale présent dans les deux.;
SecMvt;status;I;status;I;? OK;État présent dans les deux.;
?? Srv ??;;;;;;;
Srv;angle (consigne);V;angle;V;? OK;Angle consigne présent dans les deux.;
Srv;angle (flux);F;-;-;?? Modifié;V0 avait angle(F) flux continu. V1 a angle(I) sur demande. Choix architectural à confirmer.;A revoir avec le fichier, et mes notes
Srv;speed (consigne);V;speed;V;? OK;Vitesse consigne présente dans les deux.;
Srv;speed (retour);A?SP;-;-;? À vérifier;V0 avait speed en retour d'état. V1 ne publie que angle(I). Nécessaire ?;Il me semble utile. Car SP attend une confirmation des ordres, mais je veux bien savoir pourquoi tu proposais de le supprimer ?
Srv;act;V;act;V;? OK;Activation présente dans les deux.;
Srv;read;V;-;-;?? Modifié;V0 avait read(V). V1 : read déclenche angle(I) en réponse - même fonctionnalité.;
?? System ??;;;;;;;Sys, CfgS, Urg et Com font partis des variables globales de l'appli. Elles ont pu évolué lors du développement de la partie SE, il faut vérifier les fichiers associés et voir si des mises en cohérence sont nécessaires 
System;boot;I;-;-;?? Manquant V1;"?? V0 avait System:boot(I) A?SP : OK envoyé au démarrage Arduino.
Conseil : important pour synchronisation. Ajouter en V1.";Nécessaire, mais doit être pensé en cohérance (cf remarque sur la variable Sys
?? Urg ??;;;;;;;« « Sys, CfgS, Urg et Com font partis des variables globales de l'appli. Elles ont pu évolué lors du développement de la partie SE, il faut vérifier les fichiers associés et voir si des mises en cohérence sont nécessaires « «  
Urg;clear;V;clear;V;?? Modifié;"V0 : Urg:clear(V). V1 utilise parenthèses (clear) ? corriger point D.
Attention : en V0 clear est une prop ; en V1 c'est dans CfgS:emg qui doit disparaître.";
Urg;source;E;source;E;? OK;Source urgence présente dans les deux. V1 à vérifier - non visible dans la table produite.;
Urg;etat;E;etat;E;? OK;Événement urgence présent dans les deux.;
Urg;etat (ACK);I;etat;I;? OK;ACK effacement urgence présent dans les deux.;
?? US ??;;;;;;;
US;var (?);V;-;-;? À vérifier;"V0 avait Us:var. Propriété inconnue - non trouvée dans dispatch_Us.cpp.
Peut-être une ancienne propriété générique ou erreur de saisie. À clarifier.";Je ne vois pas de US var, mais je vois US val est c'est une propriété essentielle, elle renvoie la valeur des capteur us aux multiples usages ! 
US;freq;V;freq;V;? OK;Fréquence présente dans les deux.;
US;delta;V;delta;V;? OK;Delta présent dans les deux.;
US;sendall;V;sendall;V;? OK;Sendall présent dans les deux.;
US;thd;V;thd;V;? OK;Seuil présent dans les deux.;
US;suspect_ms;V;suspect_ms;V;? OK;Suspect_ms présent dans les deux.;
US;mode;V;mode;V;? OK;Mode présent dans les deux.;
US;dist;F;dist;F;? OK;Flux distance présent dans les deux.;
US;danger;E;danger;E;? OK;Événement danger présent dans les deux.;
US;-;-;act;V;? Ajout V1;? V1 ajoute US:act. Bon ajout - cohérent avec tous les autres capteurs.;
;;;;;;;
RÉSUMÉ DES ACTIONS PRIORITAIRES;;;;;;;
?? 1 - À SUPPRIMER de V1;CfgS:emg (V et I) ? vérifier dispatch_CfgS.cpp + urg.cpp. Propriété supprimée dans l'architecture actuelle.;;;;;;
?? 2 - SUPPRIMER LES PARENTHÈSES;"Point D : retirer () de toutes les commandes ponctuelles dans V1.
Concernés : reset, tare, init (Lring), init (Lrub), reset (Odom), clear (Urg).";;;;;;
?? 3 - À AJOUTER en V1 (manquants importants);"COM:error(E), COM:info(I), COM:warn(I) - A?SP génériques.
System:boot(I) - A?SP au démarrage.
Mic:alert(E) - franchissement seuil sonore.
Lrub:timeout(V) - extinction auto.
FS:raw(F) - valeur brute HX711.
Ctrl_L:dist(F) - distance mesurée en flux.";;;;;;
? 4 - À VÉRIFIER dans le code;"CfgS:typePtge ? ACK Arduino nécessaire ?
Lring:arg/args/acti/acte/cp ? toujours présents dans le code ? Probablement obsolètes.
Lrub:effetFuita ? typo ou propriété distincte de effetFuite ?
Odom:result ? doublon de pos/vel ou fonctionnel ?
Srv:speed retour ? encore émis par Arduino ?
US:var ? propriété inconnue dans le code actuel.";;;;;;
? 5 - CONFIRMÉS (bons ajouts de V1 vs V0);Mtr:cmd (API moderne), Mtr:mode, US:act, IRmvt:mvt(F), FS:force(F), FS:alerte(E), Mic:thd, Lrub:act, Lring:int, Lring:init.;;;;;;
